Document	Sentence number	Milliseconds	Alignments shown?
es-en.1	0	111407	false
es-en.1	2	49779	false
es-en.1	3	20845	false
es-en.1	4	50098	false
es-en.1	5	72195	false
es-en.1	7	20975	false
es-en.1	8	45754	false
es-en.1	9	103794	false
es-en.1	11	17557	false
es-en.1	12	39628	false
es-en.1	13	57272	false
es-en.1	14	82557	false
es-en.1	15	14158	false
es-en.1	16	94679	false
es-en.1	17	7820	false
es-en.1	18	90273	false
es-en.1	21	39430	false
es-en.1	22	48856	false
es-en.1	23	39202	false
es-en.1	24	69548	false
es-en.1	25	60740	false
es-en.2	0	112120	true
es-en.2	1	124708	true
es-en.2	2	111614	true
es-en.2	4	38899	true
es-en.2	5	21687	true
es-en.2	6	38419	true
es-en.2	7	34037	true
es-en.2	8	80335	true
es-en.2	9	141661	true
es-en.2	11	26160	true
es-en.2	12	24792	true
es-en.2	13	29703	true
es-en.2	14	94267	true
es-en.2	15	106916	true
es-en.2	16	23023	true
es-en.2	17	123922	true
es-en.2	19	43081	true
es-en.2	20	8133	true
es-en.2	21	10869	true
es-en.2	22	19257	true
es-en.2	23	50199	true
es-en.2	24	220847	true
es-en.1	0	23120	true
es-en.1	1	12651	true
es-en.1	2	37114	true
es-en.1	3	62785	true
es-en.1	4	76067	true
es-en.1	5	61355	true
es-en.1	6	38518	true
es-en.1	8	34366	true
es-en.1	9	103876	true
es-en.1	10	23243	true
es-en.1	11	38702	true
es-en.1	13	79230	true
es-en.1	14	53179	true
es-en.1	15	8565	true
es-en.1	16	39967	true
es-en.1	17	26442	true
es-en.1	18	12433	true
es-en.1	21	18876	true
es-en.1	22	81479	true
es-en.1	23	16442	true
es-en.1	24	72010	true
es-en.1	25	30202	true
es-en.2	0	104254	false
es-en.2	1	49093	false
es-en.2	2	83055	false
es-en.2	3	22012	false
es-en.2	4	54944	false
es-en.2	5	45255	false
es-en.2	6	33088	false
es-en.2	7	54788	false
es-en.2	8	53867	false
es-en.2	9	57128	false
es-en.2	10	33712	false
es-en.2	11	25802	false
es-en.2	12	29360	false
es-en.2	13	21201	false
es-en.2	14	58501	false
es-en.2	15	68220	false
es-en.2	16	26473	false
es-en.2	17	90888	false
es-en.2	18	52755	false
es-en.2	19	23509	false
es-en.2	20	15133	false
es-en.2	21	4337	false
es-en.2	22	39734	false
es-en.2	23	30670	false
es-en.2	24	76831	false
es-en.2	0	82505	true
es-en.2	1	64600	true
es-en.2	2	57939	true
es-en.2	3	18299	true
es-en.2	4	54273	true
es-en.2	5	20233	true
es-en.2	6	23541	true
es-en.2	7	15803	true
es-en.2	8	44257	true
es-en.2	9	59094	true
es-en.2	10	44898	true
es-en.2	11	14851	true
es-en.2	12	43556	true
es-en.2	13	41137	true
es-en.2	14	26083	true
es-en.2	15	24429	true
es-en.2	16	39000	true
es-en.2	17	45068	true
es-en.2	18	11575	true
es-en.2	19	43103	true
es-en.2	20	8795	true
es-en.2	21	7644	true
es-en.2	22	33352	true
es-en.2	23	86845	true
es-en.2	24	121198	true
es-en.1	0	32152	true
es-en.1	1	12870	true
es-en.1	2	12527	true
es-en.1	3	23072	true
es-en.1	4	21700	true
es-en.1	5	19219	true
es-en.1	6	20763	true
es-en.1	7	13214	true
es-en.1	8	16302	true
es-en.1	9	32073	true
es-en.1	10	22246	true
es-en.1	11	21263	true
es-en.1	12	19703	true
es-en.1	13	25225	true
es-en.1	14	27893	true
es-en.1	15	9095	true
es-en.1	16	18158	true
es-en.1	17	5117	true
es-en.1	18	15849	true
es-en.1	19	5710	true
es-en.1	20	2137	true
es-en.1	21	6786	true
es-en.1	22	30920	true
es-en.1	23	9079	true
es-en.1	24	17706	true
es-en.1	25	17129	true
es-en.2	0	45926	false
es-en.2	1	55708	false
es-en.2	2	130853	false
es-en.2	3	15678	false
es-en.2	4	42307	false
es-en.2	5	25444	false
es-en.2	6	18143	false
es-en.2	7	21013	false
es-en.2	8	21200	false
es-en.2	9	39656	false
es-en.2	10	39358	false
es-en.2	11	3635	false
es-en.2	12	32854	false
es-en.2	13	9266	false
es-en.2	14	33400	false
es-en.2	15	27269	false
es-en.2	16	24180	false
es-en.2	17	22011	false
es-en.2	18	14977	false
es-en.2	19	34897	false
es-en.2	20	1419	false
es-en.2	21	1108	false
es-en.2	22	18377	false
es-en.2	23	33836	false
es-en.2	24	51184	false
