Subject	Document	Sentence	Duration of first pause after focus was gained (milliseconds)
Subject_1	1	0	49027
Subject_1	1	2	6092
Subject_1	1	3	1623
Subject_1	1	4	1904
Subject_1	1	5	8755
Subject_1	1	7	904
Subject_1	1	9	1474
Subject_1	1	11	1206
Subject_1	1	12	1127
Subject_1	1	13	2170
Subject_1	1	14	10317
Subject_1	1	15	1100
Subject_1	1	16	7652
Subject_1	1	17	1753
Subject_1	1	16	1741
Subject_1	1	18	36427
Subject_1	1	21	21700
Subject_1	1	22	917
Subject_1	1	23	783
Subject_1	1	24	3908
Subject_1	1	25	1156
Subject_2	1	2	16833
Subject_2	1	3	3978
Subject_2	1	4	2980
Subject_2	1	5	12886
Subject_2	1	8	374
Subject_2	1	9	1575
Subject_2	1	5	1794
Subject_2	1	10	3510
Subject_2	1	11	874
Subject_2	1	13	1030
Subject_2	1	14	6380
Subject_2	1	16	12137
Subject_2	1	18	1435
Subject_2	1	16	2106
Subject_2	1	21	765
Subject_2	1	22	11310
Subject_2	1	23	4212
Subject_2	1	24	1342
Subject_2	1	25	546
Subject_3	1	0	181679
Subject_3	1	2	13338
Subject_3	1	3	3073
Subject_3	1	5	37674
Subject_3	1	6	18502
Subject_3	1	7	780
Subject_3	1	9	1092
Subject_3	1	10	1638
Subject_3	1	11	889
Subject_3	1	12	4617
Subject_3	1	13	1373
Subject_3	1	14	1638
Subject_3	1	15	609
Subject_3	1	16	16520
Subject_3	1	17	6583
Subject_3	1	21	3198
Subject_3	1	22	1389
Subject_3	1	24	1482
Subject_3	1	25	671
Subject_4	1	2	2090
Subject_4	1	3	2698
Subject_4	1	4	5008
Subject_4	1	5	9516
Subject_4	1	6	2168
Subject_4	1	8	11123
Subject_4	1	9	1653
Subject_4	1	10	1654
Subject_4	1	11	1264
Subject_4	1	12	16255
Subject_4	1	13	3915
Subject_4	1	14	484
Subject_4	1	16	3276
Subject_4	1	18	7987
Subject_4	1	22	11498
Subject_4	1	24	6427
Subject_4	1	25	3884
Subject_5	1	2	842
Subject_5	1	3	33930
Subject_5	1	6	4010
Subject_5	1	8	1716
Subject_5	1	9	3994
Subject_5	1	10	12652
Subject_5	1	11	13775
Subject_5	1	12	1576
Subject_5	1	13	18642
Subject_5	1	14	2823
Subject_5	1	15	4727
Subject_5	1	16	5211
Subject_5	1	18	4336
Subject_5	1	21	1466
Subject_5	1	22	6318
Subject_5	1	23	9968
Subject_5	1	24	3884
Subject_5	1	25	3042
Subject_6	1	0	24819
Subject_6	1	2	3244
Subject_6	1	3	78
Subject_6	1	2	1045
Subject_6	1	3	4977
Subject_6	1	4	7612
Subject_6	1	5	2574
Subject_6	1	6	1141
Subject_6	1	7	22919
Subject_6	1	9	1014
Subject_6	1	10	15901
Subject_6	1	11	1326
Subject_6	1	12	1794
Subject_6	1	13	999
Subject_6	1	14	1029
Subject_6	1	16	1170
Subject_6	1	17	3744
Subject_6	1	18	2886
Subject_6	1	20	1014
Subject_6	1	21	21342
Subject_6	1	22	983
Subject_6	1	24	2028
Subject_6	1	25	1170
Subject_7	1	0	3526
Subject_7	1	1	3338
Subject_7	1	2	4805
Subject_7	1	3	9235
Subject_7	1	4	5507
Subject_7	1	5	31060
Subject_7	1	6	2152
Subject_7	1	9	1045
Subject_7	1	11	1794
Subject_7	1	12	1310
Subject_7	1	13	3448
Subject_7	1	14	1575
Subject_7	1	15	1872
Subject_7	1	16	55661
Subject_7	1	17	6053
Subject_7	1	18	1202
Subject_7	1	21	37908
Subject_7	1	22	1467
Subject_7	1	23	2137
Subject_7	1	24	14882
Subject_7	1	25	29281
Subject_8	1	2	7207
Subject_8	1	3	3073
Subject_8	1	4	3245
Subject_8	1	5	5726
Subject_8	1	6	967
Subject_8	1	7	11029
Subject_8	1	8	9484
Subject_8	1	9	811
Subject_8	1	11	4197
Subject_8	1	13	1466
Subject_8	1	14	10062
Subject_8	1	16	16848
Subject_8	1	17	3058
Subject_8	1	18	1950
Subject_8	1	20	3666
Subject_8	1	21	4930
Subject_8	1	22	4539
Subject_8	1	23	1092
Subject_8	1	24	2637
Subject_8	1	25	2418
Subject_9	1	2	163660
Subject_9	1	3	2028
Subject_9	1	4	7878
Subject_9	1	6	35007
Subject_9	1	8	1404
Subject_9	1	9	1420
Subject_9	1	11	1466
Subject_9	1	13	14836
Subject_9	1	14	1560
Subject_9	1	16	13837
Subject_9	1	18	2621
Subject_9	1	22	8268
Subject_9	1	24	1310
Subject_9	1	25	1014
Subject_12	1	0	67798
Subject_12	1	1	4431
Subject_12	1	2	9500
Subject_12	1	3	858
Subject_12	1	4	1232
Subject_12	1	5	1279
Subject_12	1	6	1420
Subject_12	1	7	4836
Subject_12	1	7	9796
Subject_12	1	8	2013
Subject_12	1	9	13759
Subject_12	1	10	17660
Subject_12	1	11	3759
Subject_12	1	12	17331
Subject_12	1	13	8939
Subject_12	1	14	546
Subject_12	1	15	920
Subject_12	1	16	6661
Subject_12	1	18	4368
Subject_12	1	21	28875
Subject_12	1	22	1139
Subject_12	1	23	2262
Subject_12	1	24	4851
Subject_16	1	0	34351
Subject_16	1	1	10047
Subject_16	1	2	1747
Subject_16	1	3	3401
Subject_16	1	4	34741
Subject_16	1	5	41605
Subject_16	1	6	1404
Subject_16	1	7	2262
Subject_16	1	8	9376
Subject_16	1	9	4945
Subject_16	1	10	2450
Subject_16	1	11	1622
Subject_16	1	12	2450
Subject_16	1	13	2606
Subject_16	1	14	2824
Subject_16	1	15	1607
Subject_16	1	16	4930
Subject_16	1	17	4056
Subject_16	1	18	1295
Subject_16	1	19	1747
Subject_16	1	20	5554
Subject_16	1	21	4665
Subject_16	1	22	4555
Subject_16	1	23	3230
Subject_16	1	24	1919
Subject_16	1	25	4540
Subject_1	2	0	47196
Subject_1	2	1	6442
Subject_1	2	2	637
Subject_1	2	4	854
Subject_1	2	5	820
Subject_1	2	6	395
Subject_1	2	7	910
Subject_1	2	8	992
Subject_1	2	9	38801
Subject_1	2	12	828
Subject_1	2	13	699
Subject_1	2	14	2744
Subject_1	2	15	739
Subject_1	2	14	1019
Subject_1	2	15	30529
Subject_1	2	16	11664
Subject_1	2	17	36950
Subject_1	2	19	11029
Subject_1	2	20	619
Subject_1	2	21	751
Subject_1	2	22	2707
Subject_1	2	23	23212
Subject_1	2	24	35263
Subject_2	2	0	69029
Subject_2	2	1	1997
Subject_2	2	2	75021
Subject_2	2	6	5351
Subject_2	2	7	3978
Subject_2	2	8	4711
Subject_2	2	9	9298
Subject_2	2	12	796
Subject_2	2	13	3276
Subject_2	2	14	1076
Subject_2	2	15	10608
Subject_2	2	16	2309
Subject_2	2	17	1233
Subject_2	2	18	3603
Subject_2	2	17	2496
Subject_2	2	19	6521
Subject_2	2	22	1419
Subject_2	2	23	1138
Subject_2	2	24	780
Subject_3	2	0	34492
Subject_3	2	0	1966
Subject_3	2	1	4477
Subject_3	2	2	20764
Subject_3	2	3	12074
Subject_3	2	4	8596
Subject_3	2	5	11138
Subject_3	2	6	640
Subject_3	2	7	1857
Subject_3	2	8	11715
Subject_3	2	9	33947
Subject_3	2	12	1420
Subject_3	2	13	686
Subject_3	2	14	655
Subject_3	2	15	8330
Subject_3	2	16	12059
Subject_3	2	17	2808
Subject_3	2	19	24211
Subject_3	2	22	3463
Subject_3	2	23	7270
Subject_3	2	24	10764
Subject_3	2	20	1076
Subject_3	2	21	1170
Subject_3	2	22	468
Subject_3	2	23	1497
Subject_3	2	24	1825
Subject_4	2	0	30841
Subject_4	2	1	8175
Subject_4	2	2	55988
Subject_4	2	3	11949
Subject_4	2	4	7753
Subject_4	2	5	15507
Subject_4	2	6	8486
Subject_4	2	7	2277
Subject_4	2	8	10639
Subject_4	2	9	18393
Subject_4	2	12	9189
Subject_4	2	13	6958
Subject_4	2	14	5648
Subject_4	2	15	6490
