Segment	Milliseconds (Subject_1)	Milliseconds (Subject_12)	Milliseconds (Subject_16)	Milliseconds (Subject_2)	Milliseconds (Subject_3)	Milliseconds (Subject_4)	Milliseconds (Subject_5)	Milliseconds (Subject_6)	Milliseconds (Subject_7)	Milliseconds (Subject_8)	Milliseconds (Subject_9)
0	21684	110	20342	15630	3743	18204	31729	9269	3339	0	13948
1	16860	2075	87447	14649	9262	6140	64678	10639	20106	0	56898
2	53485	2731	56644	38082	40980	17036	15957	95787	73242	15866	72849
3	30385	24024	24540	46653	36719	16500	191454	30277	102276	100946	76596
4	33232	2698	47461	56594	1716	25756	43214	34775	44154	77454	56208
5	50301	1172	43929	54603	68565	11104	60405	47629	45089	22993	69547
6	14593	5414	11703	18250	20935	17626	3822	18943	33214	22682	142085
7	32891	22088	38519	15523	18221	10871	28942	35059	21576	22682	24681
8	22174	23824	30716	48797	8719	14480	20777	6568	35100	40107	8141
9	58449	19953	68889	58873	30547	17566	33605	34535	13247	16895	59279
10	14184	20106	67965	24103	9674	24521	117108	44405	4850	38174	16679
11	34375	1934	22913	18361	24164	17383	49079	35820	10171	42587	2682
12	29773	17939	34212	9874	22728	20875	99544	47706	10766	13603	36988
13	44412	5229	78219	62615	30716	21264	84443	26975	31649	50156	82135
14	50786	95335	38909	46643	37782	15054	183613	34211	126418	38094	62823
15	42219	14648	60028	18237	19060	10262	38332	47225	32778	36645	48157
16	20052	14493	15912	21168	28016	3136	34195	19801	23383	75860	27144
17	47895	10735	15663	6613	17954	6146	16693	15476	8720	9029	23757
18	65004	4929	93443	15629	15880	9768	24865	34937	17894	5210	32181
19	5737	6833	10346	2731	93	3415	16368	27535	63	983	5695
20	3761	0	9937	531	0	1544	4494	9302	968	11200	0
21	42091	18673	10186	11078	7036	2119	43477	44430	16473	45536	15
22	39988	90402	47064	70043	49497	26520	50625	41701	23415	42665	25210
23	30855	8566	47923	9969	17690	8833	31324	19846	12494	44335	1074
24	47198	25941	65129	58404	28357	15635	51259	15119	35568	47863	25553
25	44878	10747	33914	31104	35645	9141	63806	37988	55991	32761	25397
