Subject	Number of pauses >= 300ms
Subject_1	0	13
Subject_1	1	0
Subject_1	2	18
Subject_1	3	4
Subject_1	4	2
Subject_1	5	17
Subject_1	6	0
Subject_1	7	4
Subject_1	8	1
Subject_1	9	18
Subject_1	10	0
Subject_1	11	3
Subject_1	12	6
Subject_1	13	16
Subject_1	14	17
Subject_1	15	2
Subject_1	16	18
Subject_1	17	4
Subject_1	18	15
Subject_1	19	0
Subject_1	20	0
Subject_1	21	2
Subject_1	22	17
Subject_1	23	17
Subject_1	24	16
Subject_1	25	6
Subject_2	0	1
Subject_2	1	4
Subject_2	2	11
Subject_2	3	18
Subject_2	4	15
Subject_2	5	17
Subject_2	6	1
Subject_2	7	0
Subject_2	8	7
Subject_2	9	21
Subject_2	10	5
Subject_2	11	4
Subject_2	12	0
Subject_2	13	15
Subject_2	14	15
Subject_2	15	1
Subject_2	16	6
Subject_2	17	1
Subject_2	18	5
Subject_2	19	0
Subject_2	20	0
Subject_2	21	5
Subject_2	22	9
Subject_2	23	4
Subject_2	24	31
Subject_2	25	5
Subject_3	0	1
Subject_3	1	0
Subject_3	2	13
Subject_3	3	4
Subject_3	4	0
Subject_3	5	13
Subject_3	6	2
Subject_3	7	7
Subject_3	8	0
Subject_3	9	15
Subject_3	10	2
Subject_3	11	3
Subject_3	12	4
Subject_3	13	6
Subject_3	14	13
Subject_3	15	5
Subject_3	16	6
Subject_3	17	11
Subject_3	18	0
Subject_3	19	0
Subject_3	20	0
Subject_3	21	5
Subject_3	22	21
Subject_3	23	0
Subject_3	24	6
Subject_3	25	12
Subject_4	0	1
Subject_4	1	1
Subject_4	2	4
Subject_4	3	10
Subject_4	4	10
Subject_4	5	4
Subject_4	6	9
Subject_4	7	3
Subject_4	8	7
Subject_4	9	11
Subject_4	10	9
Subject_4	11	10
Subject_4	12	7
Subject_4	13	14
Subject_4	14	13
Subject_4	15	2
Subject_4	16	3
Subject_4	17	1
Subject_4	18	4
Subject_4	19	1
Subject_4	20	1
Subject_4	21	1
Subject_4	22	8
Subject_4	23	2
Subject_4	24	3
Subject_4	25	9
Subject_5	0	1
Subject_5	1	0
Subject_5	2	6
Subject_5	3	14
Subject_5	4	1
Subject_5	5	1
Subject_5	6	4
Subject_5	7	0
Subject_5	8	8
Subject_5	9	8
Subject_5	10	50
Subject_5	11	6
Subject_5	12	7
Subject_5	13	36
Subject_5	14	30
Subject_5	15	4
Subject_5	16	5
Subject_5	17	2
Subject_5	18	10
Subject_5	19	0
Subject_5	20	1
Subject_5	21	16
Subject_5	22	22
Subject_5	23	9
Subject_5	24	12
Subject_5	25	12
Subject_6	0	3
Subject_6	1	1
Subject_6	2	28
Subject_6	3	10
Subject_6	4	10
Subject_6	5	24
Subject_6	6	10
Subject_6	7	14
Subject_6	8	0
Subject_6	9	19
Subject_6	10	14
Subject_6	11	18
Subject_6	12	4
Subject_6	13	13
Subject_6	14	26
Subject_6	15	1
Subject_6	16	13
Subject_6	17	12
Subject_6	18	24
Subject_6	19	1
Subject_6	20	2
Subject_6	21	8
Subject_6	22	15
Subject_6	23	0
Subject_6	24	6
Subject_6	25	10
Subject_7	0	3
Subject_7	1	8
Subject_7	2	11
Subject_7	3	12
Subject_7	4	10
Subject_7	5	27
Subject_7	6	7
Subject_7	7	0
Subject_7	8	1
Subject_7	9	2
Subject_7	10	0
Subject_7	11	4
Subject_7	12	3
Subject_7	13	14
Subject_7	14	16
Subject_7	15	6
Subject_7	16	8
Subject_7	17	5
Subject_7	18	7
Subject_7	19	0
Subject_7	20	0
Subject_7	21	6
Subject_7	22	14
Subject_7	23	2
Subject_7	24	14
Subject_7	25	6
Subject_8	0	0
Subject_8	1	0
Subject_8	2	9
Subject_8	3	10
Subject_8	4	15
Subject_8	5	13
Subject_8	6	6
Subject_8	7	7
Subject_8	8	15
Subject_8	9	7
Subject_8	10	1
Subject_8	11	12
Subject_8	12	0
Subject_8	13	29
Subject_8	14	6
Subject_8	15	0
Subject_8	16	43
Subject_8	17	5
Subject_8	18	2
Subject_8	19	0
Subject_8	20	4
Subject_8	21	15
Subject_8	22	18
Subject_8	23	8
Subject_8	24	18
Subject_8	25	24
Subject_9	0	4
Subject_9	1	1
Subject_9	2	12
Subject_9	3	2
Subject_9	4	19
Subject_9	5	0
Subject_9	6	10
Subject_9	7	0
Subject_9	8	4
Subject_9	9	10
Subject_9	10	1
Subject_9	11	4
Subject_9	12	4
Subject_9	13	11
Subject_9	14	11
Subject_9	15	0
Subject_9	16	16
Subject_9	17	0
Subject_9	18	4
Subject_9	19	0
Subject_9	20	0
Subject_9	21	0
Subject_9	22	9
Subject_9	23	0
Subject_9	24	9
Subject_9	25	7
Subject_12	0	4
Subject_12	1	16
Subject_12	2	42
Subject_12	3	20
Subject_12	4	9
Subject_12	5	28
Subject_12	6	13
Subject_12	7	7
Subject_12	8	9
Subject_12	9	21
Subject_12	10	11
Subject_12	11	14
Subject_12	12	5
Subject_12	13	25
Subject_12	14	43
Subject_12	15	4
Subject_12	16	7
Subject_12	17	0
Subject_12	18	7
Subject_12	19	2
Subject_12	20	0
Subject_12	21	3
Subject_12	22	32
Subject_12	23	4
Subject_12	24	8
Subject_12	25	6
Subject_16	0	6
Subject_16	1	30
Subject_16	2	17
