Doc	N	Score	Segment	
		----		
		----		
doc110	0	----	Сирия уничтожила оборудование для химоружия	
doc110	0	----	Syria destroyed equipment for chemical weapons	
		----		
doc110	0	4	syria destroyed equipment for химоружия__khimoruzhiya	s5-en
doc110	0	8	syria destroyed equipment for chemo-weapons	s6-en
doc110	0	12	Syria Destroys Chemical Weaponry Equipment	s2-en
doc110	0	10	Syria destroyed equipment for chemical weapons	s3-en
doc110	0	4	syria destroyed equipment for химоружия__khimoruzhiya	en
doc110	0	12	Syria destroyed equipment for making chemical weapons	s0-en
doc110	0	10	Syria destroyed chemical weapon equipment	s4-en
doc110	0	10	Syria destroyed equipment for chemical weapons	s1-en
		----		
		----		
		----		
doc110	1	----	Сирия уничтожила все заявленные мощности по производству химического оружия , признала Организация по запрещению химического оружия .	
doc110	1	----	Syria destroyed all declared capacities for production of chemical weapons, acknowledged the Organization for the Prohibition of Chemical Weapons.	
		----		
doc110	1	8	Syria destroyed all the declared opportunities for production of chemical weapons, the Organization for the Prohibition of Chemical Weapons admitted.	s3-en
doc110	1	10	Syria destroyed all the declared facilities for production of chemical weapons, Organization for the prohibition of chemical weapons admitted.	s2-en
doc110	1	4	Syria destroyed all the declared facilities for the production of chemical weapons , and was recognized by the organization for the prohibition of chemical weapons .	s1-en
doc110	1	6	syria has destroyed all the declared chemical weapon production facilities , recognized by the organization for the prohibition of chemical weapons .	s5-en
doc110	1	6	syria destroyed all the declared facilities for production of chemical weapons , recognized by the organization for the prohibition of chemical weapons .	s6-en
doc110	1	8	Syria destroyed all the declared facilities for production of chemical weapons, as recognized by the Organization for the Prohibition of Chemical Weapons.	s0-en
doc110	1	6	syria destroyed all the declared facilities for production of chemical weapons , recognized by the organization for the prohibition of chemical weapons .	en
doc110	1	12	The organization for the prohibition of chemical weaponsthe recognized that Syria destroyed all the declared facilities of chemical weapons production.	s4-en
		----		
		----		
		----		
doc110	2	----	Этот первый этап разоружения Дамаск завершил за день до установленного срока .	
doc110	2	----	This first phase of disarmament Damascus completed the day before the established deadline.	
		----		
doc110	2	12	Damascus finished this first stage of disarmament one day before the deadline.	s2-en
doc110	2	10	Damascus finished the first stage of the disarmament the day before the deadline.	s0-en
doc110	2	6	this is the first stage of disarmament Damascus finished the day before the deadline .	s6-en
doc110	2	6	This first stage of disarming Damascus was finished the day before the deadline .	s1-en
doc110	2	10	This first disarmament stage Damascus finished the day before the deadline.	s3-en
doc110	2	6	this first stage of the disarmament of damascus finished one day before the deadline .	s5-en
doc110	2	4	this first stage of disarmament damascus finished the day before the deadline .	en
doc110	2	12	Damascus finished the first step of diarmament the day before the deadline .	s4-en
		----		
		----		
		----		
doc110	3	----	До 1 ноября Сирия должна была уничтожить производственные и иные вспомогательные объекты , предназначенные для подготовки боевых отравляющих веществ к применению , передает Би-би-си .	
doc110	3	----	Before November 1 Syria had to destroy production and other auxiliary facilities intended for preparing chemical warfare agents for use, reports the BBC.	
		----		
doc110	3	8	Syria was to destroy production and auxilliary facilities intended for preparation of combat toxic substances, BBC reports.	s2-en
doc110	3	6	Before November 1st,  Syria was to destroy the manufacturing and other auxiliary objects intended for combat training in the use of toxic substances , reports the BBC .	s1-en
